"eval","loc","VEpriorInf","state","mean","sd","median","iqr.lwr","iqr.upr","ci95.lwr","ci95.upr","ci80.lwr","ci80.upr","ci90.lwr","ci90.upr"
"obs.more","in","0.3-0.67","dRtx",56.6,11.02,55.68,48.15,67.82,36.96,74.15,42.38,71.56,38.69,73.1
"obs.more","in","0.3-0.67","dImm",36.1,27,47.8,0,59.5,0,66.72,0,62.79,0,65.65
"obs.more","in","0.3-0.75","dRtx",57.72,11.91,55.85,46.41,69.42,38.24,75.64,42.09,73.13,39.52,75.09
"obs.more","in","0.3-0.75","dImm",32.05,27.32,46.79,0,56.9,0,65.4,0,62.47,0,63.86
"obs.more","in","0.3-0.85","dRtx",56.03,12,54.49,45.27,69.11,37.99,75.05,41.02,72.03,38.45,73.63
"obs.more","in","0.3-0.85","dImm",36.21,26.87,48.05,0,60.07,0,65.85,0,62.78,0,64.45
"obs.more","in","0.3-0.95","dRtx",56.6,11.41,56.19,45.8,67.78,39,74.6,41.35,71.43,39.78,73.41
"obs.more","in","0.3-0.95","dImm",35.3,26.59,47.41,0,59.59,0,65.44,0,62.43,0,64.27
"obs.more","in","0.4-0.67","dRtx",57.01,11.72,55.77,46.4,68.59,37.11,74.55,41.59,72.04,39.12,73.9
"obs.more","in","0.4-0.67","dImm",33.95,27.6,47.11,0,59.78,0,66.54,0,62.86,0,64.36
"obs.more","in","0.5-0.67","dRtx",57.53,11.99,56.29,46.35,69.33,37.6,75.04,41.69,72.61,38.98,74.02
"obs.more","in","0.5-0.67","dImm",32.29,27.68,46.93,0,59.28,0,65.97,0,62.38,0,64.13
"obs.more","in","0.5-0.75","dRtx",57.68,11.77,56.94,46.39,69.16,38.19,75.08,41.27,72.29,39.5,73.61
"obs.more","in","0.5-0.75","dImm",32.48,28.18,47.25,0,60.03,0,65.31,0,62.36,0,64.31
"obs.more","in","0.6-0.67","dRtx",58.89,11.92,57.83,49.72,69.87,38.44,75.81,41.62,72.98,39.81,74.26
"obs.more","in","0.6-0.67","dImm",30.36,27.78,45.82,0,58.29,0,64.7,0,61.47,0,63.26
"obs.more","in","0.6-0.8","dRtx",57.73,11.53,56.09,48.41,69.53,38.85,75.45,42.15,72.31,40.26,74.16
